id_video,id_komentar,id_author,author_name,like_count,text_original,text_display,updated_at
HhxHvnM5MR0,Ugzbll5eyrIy3-gdUUJ4AaABAg,UCyRDOEXZJn8YVwFx2_vo8iA,Sqn Ldr,0,"Saran sih


Bikin aja harga ionic 5 itu sama kayak Brio

Insya alloh laris manis","Saran sih


Bikin aja harga ionic 5 itu sama kayak Brio

Insya alloh laris manis",2023-08-06 12:54:49+00:00
LwsAbFCexC4,UgzEDUiV3OTrV943p8p4AaABAg,UCtWNFzhiA_RTRYmpHL2v_OQ,lushen ace,0,"Problemnya subsidi, kualitas diturunin harga dinaikin. Pengusaha gitu cari cuan nya. Subsidi penyebab inflasi paling gede","Problemnya subsidi, kualitas diturunin harga dinaikin. Pengusaha gitu cari cuan nya. Subsidi penyebab inflasi paling gede",2023-08-04 12:16:23+00:00
LwsAbFCexC4,UgwqJqu6JMF4EH2CsVV4AaABAg,UCgG8d9geUyCNv4d6QtbiWsg,Fatih Al-Ayyubi,0,Sebaiknya KUALITASNYA dikembangkan dulu biar sebaik kualitas motor-motor pabrikan Jepang.,Sebaiknya KUALITASNYA dikembangkan dulu biar sebaik kualitas motor-motor pabrikan Jepang.,2023-08-04 10:17:57+00:00
LwsAbFCexC4,UgyYicCMR1rKwuOj2Y14AaABAg,UCFEF5ffNlavAwYUqtOLB4jA,yp office,0,Model jelek..kwalitas buruk...harga mahal.😂😂😂😂😂...croot,Model jelek..kwalitas buruk...harga mahal.😂😂😂😂😂...croot,2023-08-04 08:29:54+00:00
LwsAbFCexC4,UgxKAcLuAwZOQK6es-x4AaABAg,UCMBWFNWtWysG6kIudDCxNRg,Lembur Kuring,0,"Syarat yg ngaco..
Woy anak muda yg blom punya rumah,blom JD UMKM,bukan juga  peserta KUR... Ya kaga bisa dapet.... Kan ngaco...😂😂😂😂😂 
Sia deui sia deui NU narima subsidi teh...Ari aing iraha?","Syarat yg ngaco..
Woy anak muda yg blom punya rumah,blom JD UMKM,bukan juga  peserta KUR... Ya kaga bisa dapet.... Kan ngaco...😂😂😂😂😂 
Sia deui sia deui NU narima subsidi teh...Ari aing iraha?",2023-08-04 07:55:37+00:00
LwsAbFCexC4,Ugx-zVY4ktd7JNUB6xV4AaABAg,UCiQ0SB8Z18bhwQ0o7D2_8yA,Syarif Airlangga,2,harga motor listriknya kemahalan. masa harganya mirip motor beat. sedangkan kualitas bagai langit dan bumi,harga motor listriknya kemahalan. masa harganya mirip motor beat. sedangkan kualitas bagai langit dan bumi,2023-08-04 06:58:17+00:00
LwsAbFCexC4,Ugzu5Wkjya394dPHoq14AaABAg,UCX6hpLQDbWbZOc6sPukTTDw,BajuMax,0,"Molis keren yah... yg di beritakan yg plus nya... padahal molis lokal merk G saja 1 batrenya 8jutaan garansi 3 tahun...
Anggap saja batre awet 5 tahunan jadi sy/rakyat indonesia per 5 tahun sekali keluar 8jutaan buat beli batre baru.... w o w...

Maka dari itu saran saya uang subsidi di keluarkan buat batre... Pemerintah yg punya wewenang... pertamina yg kelola... contoh gas 3kg gas 5,5kg gas 12kg... nanti ada produk baru misal batre 3v batre 5,5v batre 12v dsb... 

Cabut... Bayar... Pasang... Gasss lagi... PnP di pom listrik...  sistem swap batre... dan perbanyak titik swap point.... indonesia itu luaaaaas pak.....","Molis keren yah... yg di beritakan yg plus nya... padahal molis lokal merk G saja 1 batrenya 8jutaan garansi 3 tahun...
Anggap saja batre awet 5 tahunan jadi sy/rakyat indonesia per 5 tahun sekali keluar 8jutaan buat beli batre baru.... w o w...

Maka dari itu saran saya uang subsidi di keluarkan buat batre... Pemerintah yg punya wewenang... pertamina yg kelola... contoh gas 3kg gas 5,5kg gas 12kg... nanti ada produk baru misal batre 3v batre 5,5v batre 12v dsb... 

Cabut... Bayar... Pasang... Gasss lagi... PnP di pom listrik...  sistem swap batre... dan perbanyak titik swap point.... indonesia itu luaaaaas pak.....",2023-08-04 06:31:56+00:00
HhxHvnM5MR0,Ugyy3luBOOHQspWyBiR4AaABAg,UC8ra3kxzZ_KVsxhfBCW5Ypw,Putut Parwoto,0,"Proses Pengenalan Produk Baru  masih butuh waktu. Apalagi akan dapat menggantikan Kendaraan BBM  menjadi Kendaraan Listrik, Butuh Waktu, Tehnologi baru  dan Kesabaran.","Proses Pengenalan Produk Baru  masih butuh waktu. Apalagi akan dapat menggantikan Kendaraan BBM  menjadi Kendaraan Listrik, Butuh Waktu, Tehnologi baru  dan Kesabaran.",2023-08-04 01:04:18+00:00
LwsAbFCexC4,Ugw-fxD-u_9LFxhiRTp4AaABAg,UCkCacKx0DgXCQmFfPO2uh4A,Heru Prasetyo,0,Subsidi hrs tepat sasaran,Subsidi hrs tepat sasaran,2023-08-03 23:56:55+00:00
LwsAbFCexC4,Ugx2k37YO1fch9eEM4d4AaABAg,UCf2aK4LdOO_KLuwDK-2nhRQ,jonan kick ass hole,1,"Harus adil dan merata lah
Penerima subsidi saat ini jangan jangan pajak pph juga msh subsidi... pemerintah mengkhianati pancasila sila ke lima. Keadilan bagi seluruh rakyat Indonesia.

Kl mmg ga mau merata bagusan ga usa subsidi sama sekali.

Untungnya subsidi merata (umum), peralihan kendaraan bbm ke listrik lbh cepat. Efeknya apa?
1. Pengurangan konsumsi subsidi BBM
2. Pengurangan polusi
3. Meningkatkan minat pihak swasta dll utk ikut berpartisipasi dalam investasi ekosistem motor listrik","Harus adil dan merata lah
Penerima subsidi saat ini jangan jangan pajak pph juga msh subsidi... pemerintah mengkhianati pancasila sila ke lima. Keadilan bagi seluruh rakyat Indonesia.

Kl mmg ga mau merata bagusan ga usa subsidi sama sekali.

Untungnya subsidi merata (umum), peralihan kendaraan bbm ke listrik lbh cepat. Efeknya apa?
1. Pengurangan konsumsi subsidi BBM
2. Pengurangan polusi
3. Meningkatkan minat pihak swasta dll utk ikut berpartisipasi dalam investasi ekosistem motor listrik",2023-08-03 11:25:57+00:00
